district_name_ar,district_name_en,city_name_ar,region_name_ar,latitude,longitude
حي الصفا,Al Safa Dist.,تبوك,منطقة تبوك,28.3758923,36.512862
حي الاخضر,Al Akhdar Dist.,تبوك,منطقة تبوك,28.3610195,36.5108759
حي البوادي,Al Bawadi Dist.,تبوك,منطقة تبوك,28.3617199,36.5249849
حي اليرموك,Al Yarmuk Dist.,تبوك,منطقة تبوك,28.3525576,36.5131249
الأحياء الجنوبية,Southern Districts,تبوك,منطقة تبوك,28.3732691,36.5440499
حي النظيم,Al Nadheem Dist.,تبوك,منطقة تبوك,28.3767489,36.5397103
حي غرب الخالدية,Khalidiyah West Dist.,تبوك,منطقة تبوك,28.3765591,36.5613312
حي البساتين,Al Basatin Dist.,تبوك,منطقة تبوك,28.3682702,36.5580375
حي الحمراء,Al Hamra Dist.,تبوك,منطقة تبوك,28.3643297,36.5712582
البلدة القديمة,Down Town,تبوك,منطقة تبوك,28.3835079,36.5661908
حي السعادة,Al Saadah Dist.,تبوك,منطقة تبوك,28.3877946,36.5486041
حي سلطانة,Sultanah Dist.,تبوك,منطقة تبوك,28.3956639,36.5887183
حي الفيصلية الجنوبية,Faisaliyah South Dist.,تبوك,منطقة تبوك,28.3933317,36.580148
حي الفيصلية الشمالية,Faisaliyah North Dist.,تبوك,منطقة تبوك,28.4032988,36.5526378
حي النهضة,Al Nahdah Dist.,تبوك,منطقة تبوك,28.3902849,36.5429306
حي الروضة,Al Rawdah Dist.,تبوك,منطقة تبوك,28.4119696,36.5180957
حي المصيف الاول,Al Masif 1 Dist.,تبوك,منطقة تبوك,28.4362329,36.5420227
حي المروج الثاني,Al Muruj 2 Dist.,تبوك,منطقة تبوك,28.4207691,36.5816724
حي الريان,Al Rayan Dist.,تبوك,منطقة تبوك,28.4582661,36.5552447
حي الورود,Al Wurud Dist.,تبوك,منطقة تبوك,28.4132894,36.5787805
مخطط الراجحي,Al Rajhi Subdivision Plan,تبوك,منطقة تبوك,28.4159808,36.5323284
المدينة الجامعية,University City,تبوك,منطقة تبوك,28.3835079,36.5661908
حي الفلاح,Al Falah Dist.,تبوك,منطقة تبوك,28.413887,36.5775617
حي الزهراء,Al Zahra Dist.,تبوك,منطقة تبوك,28.3582569,36.5528764
حي رايس,Rise Dist.,تبوك,منطقة تبوك,28.3347837,36.532422
الدوائر الحكومية و,Government Departments Area F,تبوك,منطقة تبوك,28.3835079,36.5661908
الدوائر الحكومية ب,Government Departments Area B,تبوك,منطقة تبوك,28.3835079,36.5661908
الدوائر الحكومية د,Government Departments Area D,تبوك,منطقة تبوك,28.3835079,36.5661908
الدوائر الحكومية أ,Government Departments Area A,تبوك,منطقة تبوك,28.3835079,36.5661908
حي الجامعة,Al Jamiah Dist.,تبوك,منطقة تبوك,28.4721334,36.4698055
الدوائر الحكومية ج,Government Departments Area C,تبوك,منطقة تبوك,28.3835079,36.5661908
الدوائر الحكومية هـ,Government Departments Area E,تبوك,منطقة تبوك,28.4000524,36.5781116
منطقة خاصة,Private Area,تبوك,منطقة تبوك,28.3835079,36.5661908
حي الدفاع,Al Difa Dist.,تبوك,منطقة تبوك,28.4423264,36.4640364
حي الندى,Al Nada Dist.,تبوك,منطقة تبوك,28.4443728,36.5647507
حي الهجن,Al Hejin Dist.,تبوك,منطقة تبوك,28.4721334,36.4698055
مطــار الامير سلطان بن عبدالعزيز الدولي,Prince Sultan Bin Abdulaziz International Airport,تبوك,منطقة تبوك,28.3721168,36.5986348
حي القادسية الثاني,Al Qadisiyah 2 Dist.,تبوك,منطقة تبوك,28.3834978,36.5661464
حى طيبة,Taibah Dist.,تبوك,منطقة تبوك,28.4149743,36.4457096
المنطقة الصناعية,Industrial Area,تبوك,منطقة تبوك,28.4371976,36.4631535
حي القدس,Al Quds Dist.,تبوك,منطقة تبوك,28.4039184,36.469928
حي التعاون,Al Taawun Dist.,تبوك,منطقة تبوك,28.4237781,36.4577183
حي القادسية الاول,Al Qadisiyah 1 Dist.,تبوك,منطقة تبوك,28.3834978,36.5661464
حي غرناطة,Ghirnatah Dist.,تبوك,منطقة تبوك,28.41757,36.477454
حي النخيل,Al Nakheel Dist.,تبوك,منطقة تبوك,28.4148554,36.4876251
الاستاد الرياضي,Sports Stadium,تبوك,منطقة تبوك,28.4731733,36.4837283
حي الياسمين,Al Yasmin Dist.,تبوك,منطقة تبوك,28.4205865,36.4523728
حي السليمانية,Al Sulimaniyah Dist.,تبوك,منطقة تبوك,28.3994728,36.5768317
حي الاشرافية,Al Ishrafiyah Dist.,تبوك,منطقة تبوك,28.4125266,36.5951526
حي المهرجان أ,Al Mahrajan A Dist.,تبوك,منطقة تبوك,28.3943643,36.5952682
حي السلام,Al Salam Dist.,تبوك,منطقة تبوك,28.3904872,36.5926923
حي قرطبة,Qurtubah Dist.,تبوك,منطقة تبوك,28.3927166,36.5969097
حي المروج الثالث,Al Muruj 3 Dist.,تبوك,منطقة تبوك,28.4207691,36.5816724
حي المروج الاول,Al Muruj 1 Dist.,تبوك,منطقة تبوك,28.4207691,36.5816724
حي الربوة,Ar Rabwah Dist.,تبوك,منطقة تبوك,28.4026762,36.5772317
حي المهرجان ب,Al Mahrajan B Dist.,تبوك,منطقة تبوك,28.3943643,36.5952682
حي الصالحية,As Salhiyah Dist.,تبوك,منطقة تبوك,28.3980711,36.5499984
حي العزيزية القديمة,Al Aziziyah Al Qadimah Dist.,تبوك,منطقة تبوك,28.3942898,36.5623395
حي العليا,Al Olaya Dist.,تبوك,منطقة تبوك,28.3862652,36.5879491
حي العزيزيه الجديده,Al Aziziyah Al Jadidah Dist.,تبوك,منطقة تبوك,28.3858406,36.572629
حي السلمان,As Salman Dist.,تبوك,منطقة تبوك,28.3835128,36.5763184
حي الإسكان,Al Iskan Dist.,تبوك,منطقة تبوك,28.4863121,36.4660851
حي العين,Al Ain Dist.,تبوك,منطقة تبوك,28.3835079,36.5661908
حي الشفا,Al Shifa Dist.,تبوك,منطقة تبوك,28.3706147,36.477014
حي العمل,Al Amal Dist.,الرياض,منطقة الرياض,24.6454328,46.7192941
حي النموذجية,Al Namudhajiyah Dist.,الرياض,منطقة الرياض,24.6583618,46.6951671
حي الجرادية,Al Jarradiyah Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي الفلاح,Al Falah Dist.,الرياض,منطقة الرياض,24.7962312,46.7066834
حي الندى,Al Nada Dist.,الرياض,منطقة الرياض,24.8002,46.6799955
حي المرسلات,Al Mursalat Dist.,الرياض,منطقة الرياض,24.7413586,46.6955266
حي النزهة,Al Nuzha Dist.,الرياض,منطقة الرياض,24.7593563,46.7116197
حي الصناعية,Al Sinaiyah Dist.,الرياض,منطقة الرياض,24.6350516,46.7374509
حي منفوحة الجديدة,Manfuha Al Jadidah Dist.,الرياض,منطقة الرياض,24.6126326,46.7221888
حي الورود,Al Woroud Dist.,الرياض,منطقة الرياض,24.7329344,46.679442
حي الياسمين,Al Yasmeen Dist.,الرياض,منطقة الرياض,24.7563888,46.6068926
حي الفاخرية,Al Fakhiriyah Dist.,الرياض,منطقة الرياض,24.5564837,46.7221505
حي الديرة,Al Dirah Dist.,الرياض,منطقة الرياض,23.9934051,47.1600484
حي ام الحمام الشرقي,East Umm Al Hamam Dist.,الرياض,منطقة الرياض,24.6816532,46.6557283
حي الشرفية,Al Sharafiyah Dist.,الرياض,منطقة الرياض,24.6506404,46.6674512
حي الهدا,Al Hada Dist.,الرياض,منطقة الرياض,24.4528506,46.2709702
حي المعذر الشمالي,North Mathar Dist.,الرياض,منطقة الرياض,24.6894046,46.6669635
حي ام الحمام الغربي,West Umm Al Hamam Dist.,الرياض,منطقة الرياض,24.6865177,46.6460901
حي الرحمانية,Ar Rahmaniyah Dist.,الرياض,منطقة الرياض,24.7170147,46.6594217
حي لبن,Laban Dist.,الرياض,منطقة الرياض,24.6201354,46.5475904
حي الرفيعة,Ar Rafiah Dist.,الرياض,منطقة الرياض,24.648838,46.6671295
حي الشهداء,Al Shohda Dist.,الرياض,منطقة الرياض,24.7843219,46.7357608
حي الملك فهد,King Fahd Dist.,الرياض,منطقة الرياض,23.536028,45.5322724
حي السويدي,Al Suwaidi Dist.,الرياض,منطقة الرياض,24.5903985,46.6726953
حي الحزم,Al Hazm Dist.,الرياض,منطقة الرياض,24.5444113,46.6519912
حي عتيقة,Utayqah Dist.,الرياض,منطقة الرياض,24.590518,46.7094731
حي المربع,Al Murabba Dist.,الرياض,منطقة الرياض,24.654317,46.7107299
حي الملك فيصل,King Faisal Dist.,الرياض,منطقة الرياض,24.7320341,46.6559187
المدينة الصناعية الثانية,2nd Industrial City,الرياض,منطقة الرياض,24.535842,46.906756
حي صلاح الدين,Salahuddin Dist.,الرياض,منطقة الرياض,24.7409561,46.7168307
حي الملك عبدالعزيز,King Abdulaziz Dist.,الرياض,منطقة الرياض,24.6976046,46.7196203
حي منفوحة,Manfuhah Dist.,الرياض,منطقة الرياض,24.6007001,46.7244456
حي النفل,Al Nafel Dist.,الرياض,منطقة الرياض,24.7785703,46.6696496
حي المصيف,Al Maseef Dist.,الرياض,منطقة الرياض,24.7655999,46.6802973
حي التعاون,Al Taawun Dist.,الرياض,منطقة الرياض,24.7599386,46.6907405
حي العزيزية,Al Aziziyah Dist.,الرياض,منطقة الرياض,24.6037995,46.757837
حي المنصورة,Al Mansurah Dist.,الرياض,منطقة الرياض,24.6034352,46.7465757
حي غبيرة,Ghobairah Dist.,الرياض,منطقة الرياض,24.6179896,46.7382916
حي الفاروق,Al Farooq Dist.,الرياض,منطقة الرياض,24.6672984,46.7827034
حي الفيصلية,Al Faisaliyah Dist.,الرياض,منطقة الرياض,24.6369766,46.7728034
حي الخالدية,Al Khalidiyah Dist.,الرياض,منطقة الرياض,24.6237866,46.754764
حي الجزيرة,Al Jazeerah Dist.,الرياض,منطقة الرياض,24.7135517,46.6752957
حي السعادة,Al Saadah Dist.,الرياض,منطقة الرياض,24.6855992,46.8347647
حي الناصرية,Al Nasiriyah Dist.,الرياض,منطقة الرياض,24.6471699,46.6704379
حي المناخ,Al Manakh Dist.,الرياض,منطقة الرياض,24.5999291,46.8038629
حي الدفاع,Al Difaa Dist.,الرياض,منطقة الرياض,24.586232,46.8300374
حي الازدهار,Al Ezdihar Dist.,الرياض,منطقة الرياض,24.7851291,46.717801
حي الاندلس,Al Andalus Dist.,الرياض,منطقة الرياض,24.4681487,46.2810439
حي النور,Al Noor Dist.,الرياض,منطقة الرياض,24.6335342,46.8113243
حي الملك عبدالله,King Abdullah Dist.,الرياض,منطقة الرياض,24.716353,46.7392546
حي الواحة,Al Wahah Dist.,الرياض,منطقة الرياض,24.7409561,46.7168307
حي الوزارات,Al Wizarat Dist.,الرياض,منطقة الرياض,24.6765865,46.7100283
حي سكيرينة,Skirinah Dist.,الرياض,منطقة الرياض,24.7135517,46.6752957
حي الربوة,Ar Rabwah Dist.,الرياض,منطقة الرياض,24.6915715,46.7639686
حي جرير,Jareer Dist.,الرياض,منطقة الرياض,24.6730263,46.7603114
حي المعذر,Al Mathar Dist.,الرياض,منطقة الرياض,24.6777932,46.6641413
حي الصالحية,As Salhiyah Dist.,الرياض,منطقة الرياض,24.6333639,46.7318239
حي الملز,Al Malaz Dist.,الرياض,منطقة الرياض,24.6624446,46.7287761
حي عليشة,Olaishah Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي النهضة,Al Nahdah Dist.,الرياض,منطقة الرياض,24.7550329,46.8214848
حي الخليج,Al Khaleej Dist.,الرياض,منطقة الرياض,24.7135517,46.6752957
حي الضباط,Al Dhubbat Dist.,الرياض,منطقة الرياض,24.6821814,46.7197988
حي السويدي الغربي,West Suwaidi Dist.,الرياض,منطقة الرياض,24.5903985,46.6726953
حي ديراب,Dirab Dist.,الرياض,منطقة الرياض,24.5019498,46.6264236
حي احد,Ohod Dist.,الرياض,منطقة الرياض,24.5026248,46.6407736
حي نمار,Namar Dist.,الرياض,منطقة الرياض,24.5769995,46.6920516
حي الشفا,Al Shifa Dist.,الرياض,منطقة الرياض,24.5673452,46.7024146
حي المحمدية,Al Muhammadiyah Dist.,الرياض,منطقة الرياض,24.4438868,46.2689858
حي السليمانية,Al Sulaimaniyah Dist.,الرياض,منطقة الرياض,23.7795262,44.7838411
حي المروة,Al Marwah Dist.,الرياض,منطقة الرياض,24.5263732,46.6760822
حي عكاظ,Okaz Dist.,الرياض,منطقة الرياض,24.5107714,46.6840228
حي شبرا,Shubra Dist.,الرياض,منطقة الرياض,24.5739032,46.6635897
حي الزهرة,Al Zahrah Dist.,الرياض,منطقة الرياض,24.5761234,46.6363507
حي صياح,Siyah Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي سلطانة,Sultanah Dist.,الرياض,منطقة الرياض,24.6042675,46.6926697
حي اليمامة,Al Yamamah Dist.,الرياض,منطقة الرياض,24.6046533,46.72047
حي البديعة,Al Badiah Dist.,الرياض,منطقة الرياض,24.5983243,46.6455287
حي المصانع,Al Masani Dist.,الرياض,منطقة الرياض,24.5761986,46.7343566
حي القادسية,Al Qadisiyah Dist.,الرياض,منطقة الرياض,24.8095576,46.8261516
حي الصفا,Al Safa Dist.,الرياض,منطقة الرياض,24.670761,46.7610486
حي العليا,Al Olaya Dist.,الرياض,منطقة الرياض,24.695087,46.6806472
حي الريان,Al Rayan Dist.,الرياض,منطقة الرياض,24.3136332,45.8523026
حي ظهرة البديعة,Dhahrat Al Badeah Dist.,الرياض,منطقة الرياض,24.5983243,46.6455287
حي النظيم,Al Nadheem Dist.,الرياض,منطقة الرياض,24.8033292,46.894362
حي طيبة,Taybah Dist.,الرياض,منطقة الرياض,24.5494403,46.7921528
حي المنصورية,Mansuriyah Dist.,الرياض,منطقة الرياض,24.7512929,46.6878427
حي ضاحية نمار,Dahiyat Namar Dist.,الرياض,منطقة الرياض,24.510868,46.525948
حي المصفاة,Al Misfat Dist.,الرياض,منطقة الرياض,24.5041673,46.9264269
حي السفارات,Assafarat Dist.,الرياض,منطقة الرياض,24.6832935,46.6231824
خشم العان,Khashm Al An,الرياض,منطقة الرياض,24.6687903,46.9255944
حي العريجاء,Al Uraija Dist.,الرياض,منطقة الرياض,24.60218,46.62807
حي العريجاء الوسطى,Middle Oraija Dist.,الرياض,منطقة الرياض,24.60218,46.62807
حي المونسية,Al Munisiyah Dist.,الرياض,منطقة الرياض,24.8294424,46.751859
حي الخزامى,Al Khuzama Dist.,الرياض,منطقة الرياض,24.7219023,46.5944921
عرقة,Irqah,الرياض,منطقة الرياض,24.6872441,46.5823725
حي ظهرة لبن,Dhahrat Laban Dist.,الرياض,منطقة الرياض,24.6532569,46.5769691
حي الرماية,Al Rimayah Dist.,الرياض,منطقة الرياض,24.7703272,46.8543221
حي البرية,Al Bariyah Dist.,الرياض,منطقة الرياض,24.5645749,46.9027325
حي قرطبة,Qurtubah Dist.,الرياض,منطقة الرياض,24.817733,46.7360206
حي طويق,Tuwaiq Dist.,الرياض,منطقة الرياض,24.5609014,46.5704273
حي العوالي,Al Awaly Dist.,الرياض,منطقة الرياض,24.5549885,46.6008195
حي الربيع,Ar Rabie Dist.,الرياض,منطقة الرياض,24.7924381,46.6518665
حي المغرزات,Al Mughrazat Dist.,الرياض,منطقة الرياض,24.7625344,46.7253928
حي السلي,Al Sulay Dist.,الرياض,منطقة الرياض,24.6571726,46.8344515
حي العقيق,Al Aqeeq Dist.,الرياض,منطقة الرياض,24.7740729,46.6309639
حي ثليم,Thulaim Dist.,الرياض,منطقة الرياض,24.6401529,46.7256371
حي الشميسي,Al Shumaisi Dist.,الرياض,منطقة الرياض,24.6234796,46.6957372
حي الوشام,Al Wisham Dist.,الرياض,منطقة الرياض,24.651576,46.705908
منتزه سلام,Salam Park,الرياض,منطقة الرياض,24.6200404,46.7094679
حي الدوبية,Al Dubiyah Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي معكال,Meakal Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي جبرة,Jabrah Dist.,الرياض,منطقة الرياض,24.6222569,46.7188527
حي القرى,Al Qura Dist.,الرياض,منطقة الرياض,24.6278962,46.7152755
حي المرقب,Al Marqab Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي الرائد,Al Raed Dist.,الرياض,منطقة الرياض,24.7062938,46.628532
حي العريجاء الغربي,West Oraija Dist.,الرياض,منطقة الرياض,24.5897399,46.6126825
حي الفوطة,Al Futah Dist.,الرياض,منطقة الرياض,24.643767,46.7154224
حي ام سليم,Umm Saleem Dist.,الرياض,منطقة الرياض,24.6328083,46.6986164
حي الصحافة,Al Sahafah Dist.,الرياض,منطقة الرياض,24.8121717,46.6361273
حي الحمراء,Al Hamra Dist.,الرياض,منطقة الرياض,24.778346,46.7614326
حي الدار البيضاء,Al Dar Al Baida Dist.,الرياض,منطقة الرياض,24.564888,46.7836351
حي البطيحا,Al Butaiha Dist.,الرياض,منطقة الرياض,24.6221233,46.7197548
حي الزهراء,Al Zahra Dist.,الرياض,منطقة الرياض,24.687865,46.7305648
حي الفيحاء,Al Fayha Dist.,الرياض,منطقة الرياض,24.6811518,46.8126664
حي المؤتمرات,Al Mutamarat Dist.,الرياض,منطقة الرياض,24.6705495,46.6863616
حي الوسيطاء,Al Wusayta Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي الجنادرية,Al Janadriyah Dist.,الرياض,منطقة الرياض,24.8201863,46.8818482
حي اشبيلية,Ishbiliyah Dist.,الرياض,منطقة الرياض,24.792046,46.7739459
حي المعيزلة,Al Maizalah Dist.,الرياض,منطقة الرياض,24.7934171,46.8502929
حي اليرموك,Al Yarmuk Dist.,الرياض,منطقة الرياض,24.8070984,46.7982322
حي الدريهمية,Al Duraihemiyah Dist.,الرياض,منطقة الرياض,24.5903985,46.6726953
حي الاسكان,Al Iskan Dist.,الرياض,منطقة الرياض,24.5715327,46.8396393
حي السلام,Al Salam Dist.,الرياض,منطقة الرياض,24.7083499,46.8133526
حي المنار,Al Manar Dist.,الرياض,منطقة الرياض,24.7297594,46.7955568
حي النسيم الشرقي,East Naseem Dist.,الرياض,منطقة الرياض,24.7426943,46.8407774
حي القدس,Al Quds Dist.,الرياض,منطقة الرياض,24.7572297,46.7527165
حي الوادي,Al Wadi Dist.,الرياض,منطقة الرياض,24.7871093,46.6877277
حي الروضة,Al Rawdah Dist.,الرياض,منطقة الرياض,24.7281679,46.7696157
حي الروابي,Al Rawabi Dist.,الرياض,منطقة الرياض,24.6851894,46.7915
حي حطين,Hiteen Dist.,الرياض,منطقة الرياض,24.828044,46.5916036
حي النخيل,Al Nakheel Dist.,الرياض,منطقة الرياض,24.7470915,46.649504
حي الغدير,Al Ghadeer Dist.,الرياض,منطقة الرياض,24.7734256,46.6454172
حي المروج,Al Muruj Dist.,الرياض,منطقة الرياض,24.4766535,46.275046
حي الملقا,Al Malqa Dist.,الرياض,منطقة الرياض,24.8070213,46.6018045
حي القيروان,Al Qairawan Dist.,الرياض,منطقة الرياض,24.8229469,46.5937347
حي العارض,Al Arid Dist.,الرياض,منطقة الرياض,24.8571641,46.6385924
مطار الملك خالد,King Khalid International Airport,الرياض,منطقة الرياض,24.9454935,46.7089092
حي النرجس,Al Narjis Dist.,الرياض,منطقة الرياض,24.8835185,46.6461793
حي النسيم الغربي,West Naseem Dist.,الرياض,منطقة الرياض,24.7235642,46.8285887
حي المشاعل,Al Mishael Dist.,الرياض,منطقة الرياض,24.6112747,46.8647346
جامعة الامام محمد بن سعود الاسلامية,Imam Muhammed Bin Saud Islamic University,الرياض,منطقة الرياض,24.8072466,46.698399
حي بنبان,Banban Dist.,الرياض,منطقة الرياض,25.0284581,46.5795603
حي الرمال,Al Rimal Dist.,الرياض,منطقة الرياض,24.8808159,46.8286213
حي غرناطة,Ghirnatah Dist.,الرياض,منطقة الرياض,24.4663575,46.2687538
حي الدحو,Al Dahou Dist.,الرياض,منطقة الرياض,24.6167319,46.6929198
حي العماجية,Al Ammajiyah Dist.,الرياض,منطقة الرياض,24.4399807,46.9777268
حي هيت,Hyt Dist.,الرياض,منطقة الرياض,24.4836292,46.9737722
حي الحائر,Al Haer Dist.,الرياض,منطقة الرياض,24.4007787,46.8464699
حي ام الشعال,Umm Al Shaal Dist.,الرياض,منطقة الرياض,24.3323956,46.9658372
حي الغنامية,Al Ghannamiyah Dist.,الرياض,منطقة الرياض,24.4789638,46.803293
حي عريض,Oraid Dist.,الرياض,منطقة الرياض,24.4599808,46.7520219
حي بدر,Badr Dist.,الرياض,منطقة الرياض,24.6626184,46.877718
حي المهدية,Al Mahdiyah Dist.,الرياض,منطقة الرياض,24.6500984,46.5034475
جامعة الملك سعود,King Saud University,الرياض,منطقة الرياض,24.7222078,46.6258804
حي الندوة,Al Nadwah Dist.,الرياض,منطقة الرياض,24.8033292,46.894362
حي الرابية,Al Rabiyah Dist.,الرياض,منطقة الرياض,24.6387683,46.5891168
حي وادي لبن,Wady Laban Dist.,الرياض,منطقة الرياض,24.6065909,46.5460927
حي السدرة,Al Sidrah Dist.,الرياض,منطقة الرياض,24.8638875,46.7455469
حي التضامن,Al Tadamun Dist.,الرياض,منطقة الرياض,25.0223312,47.0375092
مدينة الملك عبدالله للطاقة,King Abdullah City For Energy,الرياض,منطقة الرياض,24.7071769,46.6787587
حي البساتين,Al Basatin Dist.,الرياض,منطقة الرياض,24.0586077,45.2715477
حي الرحاب,Al Rehab Dist.,الرياض,منطقة الرياض,24.7870816,46.5620116
حي المجد,Al Majd Dist.,الرياض,منطقة الرياض,24.7135517,46.6752957
حي الدانة,Al Danah Dist.,الرياض,منطقة الرياض,25.0115162,47.0898737
حي الرسالة,Al Risalah Dist.,الرياض,منطقة الرياض,25.000373,47.0929102
حي الخير,Al Khair Dist.,الرياض,منطقة الرياض,25.0299588,46.4531247
حي الفرسان,Al Fursan Dist.,الرياض,منطقة الرياض,24.9798438,47.0811702
حي الشعلة,Al Sholah Dist.,الرياض,منطقة الرياض,25.0070577,47.0532651
حي الراية,Al Rayah Dist.,الرياض,منطقة الرياض,24.9938862,47.0793014
حي الزهور,Al Zahour Dist.,الرياض,منطقة الرياض,24.7015922,46.6678826
حي الزاهر,Al Zaher Dist.,الرياض,منطقة الرياض,24.9973589,47.0429095
حي المرجان,Al Marjan Dist.,الرياض,منطقة الرياض,24.92461,46.8677843
حي البيان,Al Bayan Dist.,الرياض,منطقة الرياض,24.8860065,46.8686995
حي العلا,Al Ula Dist.,الرياض,منطقة الرياض,24.695087,46.6806472
حي المشرق,Al Mashriq Dist.,الرياض,منطقة الرياض,24.9575603,47.0279319
حي النخبة,Al Nakhbah Dist.,الرياض,منطقة الرياض,24.9918113,47.1067427
حي السحاب,Al Sahab Dist.,الرياض,منطقة الرياض,24.9545446,46.9900318
حي الوسام,Al Wasam Dist.,الرياض,منطقة الرياض,24.911,46.916
حي العود,Al Oud Dist.,الرياض,منطقة الرياض,24.6336769,46.7288339
حي الردف,Ar Ruddaf Dist.,الطائف,منطقة مكة المكرمة,21.2275475,40.4210529
حي ج32,C32 Dist.,الطائف,منطقة مكة المكرمة,21.3200829,40.5275722
حي ج30,C30 Dist.,الطائف,منطقة مكة المكرمة,21.353683,40.5324212
حي ج31,C31 Dist.,الطائف,منطقة مكة المكرمة,21.3854873,40.520835
حي الشهداء الجنوبية,Ashuhada Aljanubiyyah  Dist.,الطائف,منطقة مكة المكرمة,21.2613101,40.4241517
حي شهار,Shihar  Dist.,الطائف,منطقة مكة المكرمة,21.2489622,40.413338
حي ج20,C20 Dist.,الطائف,منطقة مكة المكرمة,21.4672332,40.5552032
حي نخب,Nakhab  Dist.,الطائف,منطقة مكة المكرمة,21.2725404,40.4350714
حي ج24,C24 Dist.,الطائف,منطقة مكة المكرمة,21.0733742,40.3082015
حي الحلقة الشرقية,Al Halqah Asharqiyyah Dist.,الطائف,منطقة مكة المكرمة,21.3512561,40.454401
حي القيم الأسفل,Al Qayam Al Asfal Dist.,الطائف,منطقة مكة المكرمة,21.3702601,40.4548293
المطار الدولي الجديد,New International Airport,الطائف,منطقة مكة المكرمة,21.4228643,40.6548445
حي ج14,C14 Dist.,الطائف,منطقة مكة المكرمة,21.5772029,40.7032738
حي ج13,C13 Dist.,الطائف,منطقة مكة المكرمة,21.5442168,40.6504445
حي القيم الأعلى,Al Qayam Al Aala Dist.,الطائف,منطقة مكة المكرمة,21.3390255,40.4358843
حي ج7,C7 Dist.,الطائف,منطقة مكة المكرمة,21.5121903,40.4971926
حي ج19,C19 Dist.,الطائف,منطقة مكة المكرمة,21.476543,40.6262588
حي ج34,C34 Dist.,الطائف,منطقة مكة المكرمة,21.2989758,40.5211521
حي العرج الأسفل,Al Urj Al Asfal Dist.,الطائف,منطقة مكة المكرمة,21.3455075,40.4686637
جامعة الطائف الجديدة,New Taif University,الطائف,منطقة مكة المكرمة,21.3292195,40.5019818
حي مسرة 2,Masarah 2 Dist.,الطائف,منطقة مكة المكرمة,21.3041193,40.3705811
حي الفيصلية,Al Faisaliyah Dist.,الطائف,منطقة مكة المكرمة,21.2889167,40.4177222
حي العرج الأعلى,Al Urj Al Aala Dist.,الطائف,منطقة مكة المكرمة,21.3273037,40.4597887
حي ج39,C39 Dist.,الطائف,منطقة مكة المكرمة,21.2165201,40.5257896
حي ج38,C38 Dist.,الطائف,منطقة مكة المكرمة,21.2235125,40.5096186
حي الغمير,Al Ghumayr Dist.,الطائف,منطقة مكة المكرمة,21.3033773,40.3854816
حي العارمية 1,Al Aarmiah 1 Dist.,الطائف,منطقة مكة المكرمة,21.3864079,40.4661662
حي القديرة,Al Qadirah Dist.,الطائف,منطقة مكة المكرمة,21.4059709,40.4484727
حي ريحه,Riha  Dist.,الطائف,منطقة مكة المكرمة,21.4673522,40.4579952
حي الوشحاء,Al Washha Dist.,الطائف,منطقة مكة المكرمة,21.2535589,40.432418
حي الشهداء الشمالية,Ashuhada Alshamaliyyah  Dist.,الطائف,منطقة مكة المكرمة,21.2678699,40.4187469
حي ج9,C9 Dist.,الطائف,منطقة مكة المكرمة,21.5307723,40.5251217
حي قوات الدفاع الجوي,Air Defense Forces Dist.,الطائف,منطقة مكة المكرمة,21.2840782,40.4248192
حي الاسكان,Al Iskan Dist.,الطائف,منطقة مكة المكرمة,21.4311922,40.4523887
حي المضباع,Al Mudhbah Dist.,الطائف,منطقة مكة المكرمة,21.4423393,40.4782419
حي الواسط,Al Wasit  Dist.,الطائف,منطقة مكة المكرمة,21.4801499,40.4653552
حي ج33,C33 Dist.,الطائف,منطقة مكة المكرمة,21.2663712,40.5456118
حي النزهة,An Nuzhah Dist.,الطائف,منطقة مكة المكرمة,21.2544538,40.4191271
حي ج8,C8 Dist.,الطائف,منطقة مكة المكرمة,21.5439571,40.4996828
حي الضبط,Al Dhabt Dist.,الطائف,منطقة مكة المكرمة,21.3960586,40.4450601
حي السويقة,Al Sawaiqa Dist.,الطائف,منطقة مكة المكرمة,21.3263989,40.4134866
حي ج36,C36 Dist.,الطائف,منطقة مكة المكرمة,21.2423063,40.5368886
حي مثمله,Masmla Dist.,الطائف,منطقة مكة المكرمة,21.4657441,40.4821924
حي الحوية,Al Huwaya Dist.,الطائف,منطقة مكة المكرمة,21.441058,40.495228
حي ج40,C40 Dist.,الطائف,منطقة مكة المكرمة,21.1979607,40.5882351
حي ج41,C41 Dist.,الطائف,منطقة مكة المكرمة,21.1798575,40.6107942
حي الاخباب,Akhbab Dist.,الطائف,منطقة مكة المكرمة,21.231681,40.3684061
حي القراحين,Alqrahin Dist.,الطائف,منطقة مكة المكرمة,21.2214525,40.4055026
حي السداد,As Sadad Dist.,الطائف,منطقة مكة المكرمة,21.2274993,40.4144447
حي أم العراد,Umm Alarad  Dist.,الطائف,منطقة مكة المكرمة,21.2413843,40.4067707
